stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
8503668,,Insel Ufenau,,47.218137,8.777433,406,,,0,,,,Insel Ufnau,,,
8503669,,Richterswil ZSG,,47.209099,8.707292,407,,,0,,,,,,,
8503670,,Wädenswil ZSG,,47.230137,8.675344,408,,,0,,,,,,,
8503671,,Halbinsel Au,,47.250569,8.648786,410,,,0,,,,,,,
8503672,,Horgen ZSG,,47.262349,8.597597,407,,,0,,,,,,,
8503673,,Oberrieden ZSG,,47.278625,8.581930,424,,,0,,,,,,,
8503674,,Thalwil ZSG,,47.296690,8.568049,435,,,0,,,,,,,
8503675,,Rüschlikon ZSG,,47.309773,8.558380,433,,,0,,,,,,,
8503677,,Kilchberg Bendlikon,,47.322556,8.551783,406,,,0,,,,,,,
8503680,,Pfäffikon SZ ZSG,,47.207944,8.775132,410,,,0,,,,,,,
8503681,,Zürich Wollishofen ZSG,,47.345540,8.536699,406,,,0,,,,,,,
8503682,,Küsnacht Heslibach,,47.308641,8.583922,406,,,0,,,,,,,
8503683,,Altendorf ZSG,,47.194895,8.832481,412,,,0,,,,,,,
8504243,,Vaumarcus débarcadère,,46.878044,6.761250,430,,,0,,,,,,,
8504363,,Grenchen BSG,,47.172916,7.422523,430,,,0,,,,,,,
8504364,,Port,,47.118334,7.256600,450,,,0,,,,,,,
8504365,ALTR,Altreu,,47.190384,7.448881,429,,,0,,,,,,,
8504366,,Büren BSG,,47.140229,7.374034,443,,,0,,,,,,,
8504368,,Brügg BSG,,47.122221,7.281322,436,,,0,,,,,,,
8504369,,Nidau BSG,,47.121803,7.243331,433,,,0,,,,,,,
8504371,,Biel/Bienne BSG,,47.131206,7.235283,437,,,0,,,,,,,
8504372,,Tüscherz BSG,,47.112469,7.193442,435,,,0,,,,,,,
8504373,,Engelberg-Wingreis,,47.102152,7.177537,429,,,0,,,,,,,
8504374,,Twann BSG,,47.093343,7.157033,434,,,0,,,,,,,
8504375,,Ligerz BSG,,47.083348,7.135476,434,,,0,,,,,,,
8504376,STPN,St. Petersinsel Nord,,47.068318,7.135614,429,,,0,,,,,,,
8504377,,La Neuveville BSG,,47.061362,7.093570,433,,,0,,,,,,,
8504378,ERLA,Erlach,,47.049276,7.097425,429,,,0,,,,,,,
8504379,,Solothurn BSG,,47.203532,7.534077,428,,,0,,,,,,,
8504393,SSD,Saut-du-Doubs,,47.084359,6.709120,750,,,0,,,,,,,
8504499,,Trois-Lacs (camping),,46.975620,7.093269,430,,,0,,,,,,,
8504550,,Neuchâtel LNM,,46.990964,6.933327,430,,,0,,,,,,,
8504552,,Auvernier LNM,,46.973795,6.881617,430,,,0,,,,,,,
8504554,,Gorgier-Chez-le-Bart,,46.900002,6.787392,429,,,0,,,,,,,
8504555,,St-Aubin NE LNM,,46.889855,6.774997,430,,,0,,,,,,,
8504556,,Concise LNM,,46.848648,6.720293,430,,,0,,,,,,,
8504557,,Grandson LNM,,46.805980,6.642884,430,,,0,,,,,,,
8504558,,Yverdon-les-Bains LNM,,46.787198,6.640503,430,,,0,,,,,,,
8504559,,Bevaix LNM,,46.922970,6.821893,430,,,0,,,,,,,
8504560,,St-Blaise LNM,,47.010116,6.982856,430,,,0,,,,,,,
8504561,,Cudrefin,,46.959216,7.014164,430,,,0,,,,,,,
8504562,,Portalban,,46.926489,6.952763,430,,,0,,,,,,,
8504563,,Chevroux,,46.899736,6.896652,430,,,0,,,,,,,
8504564,,Estavayer-le-Lac LNM,,46.852209,6.838349,430,,,0,,,,,,,
8504565,,Le Landeron débarcadère,,47.051171,7.076224,430,,,0,,,,,,,
8504566,,La Tène,,47.004773,7.023034,430,,,0,,,,,,,
8504567,,Thielle-Wavre,,47.019678,7.033072,430,,,0,,,,,,,
8504571,,La Sauge LNM,,46.975388,7.054632,430,,,0,,,,,,,
8504572,,Sugiez LNM,,46.964140,7.114248,430,,,0,,,,,,,
8504573,,Praz,,46.951678,7.097338,430,,,0,,,,,,,
8504574,,Môtier (Vully),,46.946942,7.084075,430,,,0,,,,,,,
